path,categories
bit-planes,Shooter
adventure-capitalist,Idle / Clicker
snowrider3d,Driving
slope,Skill,Arcade
real-geometry-dash,Skill,Music / Rhythm
polytrack,Racing
basket-random,Sports,Basketball
minecraft,Sandbox
cookieclicker,Idle / Clicker
basketball-stars,Sports,Basketball
ice-dodo,Skill
8ball,Sports
paperio2,Multiplayer,Arcade
rocketleague,Sports,Driving
2048,Puzzle
amazing-rope-police,Action
burritobison,Action,Arcade
drift-boss,Driving,Racing
bitlife,Simulation
getaway-shootout,Shooter,Multiplayer
1on1soccer,Sports
drifthunters,Driving,Racing
retrobowlcollege,Sports
wordle,Puzzle
nutsim,Simulation
drivemad,Driving
territorial.io,Strategy,Multiplayer
paperio,Multiplayer,Arcade
amongus,Multiplayer,Strategy
subway-surfers,Arcade
2drocketleague,Sports,Driving
stickman-hook,Skill
sprinter,Sports
bottle-flip-3d,Skill
basketbros,Sports,Basketball
deal,Puzzle
fivenightsatepsteins,Horror
wallsmash,Skill
crossyroad,Arcade
tron,Multiplayer,Arcade
1v1lol,Shooter,Multiplayer
ngon,Skill
9007199254740992,Puzzle
aquapark-slides,Racing
avalanche,Skill
motox3m,Driving,Racing
tetra-legends,Puzzle
btd5,Strategy
ballisticchickens,Shooter
idlebreakout,Idle / Clicker
bloxorz,Puzzle
btd6,Strategy
sandtrix,Puzzle
google-snake,Arcade
gunmayhem2,Shooter,Multiplayer
russiancardriver,Driving
happywheels,Platformer
worlds-hardest-game,Skill
zombocalypse,Shooter
watermelongame,Puzzle
btts,Platformer
space,Shooter
tanuki-sunset,Driving
boxingphysics2,Sports
stickmangolf,Sports
doodlejump,Platformer
theimpossiblequiz,Puzzle
colorswitch,Skill
ageofwar,Strategy
funnyshooter2,Shooter
ages-of-conflict,Simulation,Strategy
tetris,Puzzle
death-run-3d,Skill
rooftopsnipers2,Shooter,Multiplayer
csgoclicker,Idle / Clicker
chibiknight,Adventure
1v1space,Shooter,Multiplayer
draw-the-hill,Driving
fancy-solitaire,Puzzle
adventure-drivers,Driving,Racing
badtimesimulator,Skill
holeio,Multiplayer,Arcade
helixjump,Skill
motox3m-pool,Driving,Racing
big-neon-tower,Platformer
celeste,Platformer
knifehit,Skill
gunmayhem,Shooter,Multiplayer
flappybird,Skill
badpiggies,Puzzle
learntofly2,Arcade
jacksmith,Strategy
backrooms,Horror
tabs,Strategy
escapingtheprison,Adventure
60sburgerrun,Arcade
cookie-clicker,Idle / Clicker
achieveunlocked,Platformer
awesometanks2,Shooter
justfalllol,Multiplayer,Skill
stickslasher,Action
championisland,Adventure
tinyfishing,Idle / Clicker
fruitninja,Skill
getawayshooter,Shooter,Multiplayer
tunnelrush,Skill
jetpackjoyride,Arcade
universal-paperclips,Idle / Clicker
timeshooter3,Shooter
geometryrash,Skill,Music / Rhythm
slope2,Skill,Arcade
big-ice-tower-tiny-square-2,Platformer
mario,Platformer
astray,Puzzle
retro-bowl,Sports
pacman,Retro / Flash
supersmashbros,Action,Multiplayer
guiltygear,Action
2048-multitask,Puzzle
adrenalinechallenge2,Driving
cluster-rush,Skill
fluidsim,Simulation
angry-sharks,Action
black-hole-square,Skill
flappyplane,Skill
swerve,Driving
rooftop-snipers,Shooter,Multiplayer
volley-random,Sports
thefinalearth2,Strategy
vex5,Platformer
fridaynightfunkin,Music / Rhythm
monkey-mart,Simulation
doom,Shooter
circloo,Puzzle
motox3m-spooky,Driving,Racing
bobtherobber2,Adventure
bubbleshooter,Puzzle
tube-jumpers,Multiplayer,Skill
vex7,Platformer
dadish,Platformer
sand,Sandbox
pandemic,Strategy
thisistheonlylevel,Platformer
snake,Arcade
bloodtournament,Action,Multiplayer
fbwg,Puzzle
run,Platformer
tu95,Simulation
amidst-the-clouds,Platformer
bounce-back,Action
minesweeper,Puzzle
baldis-basics,Horror
run3,Platformer
spankthemonkey,Skill
browserkiller,Skill
osu,Music / Rhythm
motox3m-winter,Driving,Racing
btd3,Strategy
littlealchemy,Puzzle
soccer-random,Sports
monstertracks,Driving
wbwwb,Skill
learntoflyidle,Idle / Clicker
superhot,Shooter
chess,Strategy
awesometanks,Shooter
factoryballs,Puzzle
ducklife6,Simulation
cubefield,Skill
dante,Action
fnaf,Horror
learntofly,Arcade
madalincars,Driving
mc-classic,Sandbox
pool,Sports
supermario64,Platformer
ovo,Platformer
linerider,Sandbox
civiballs,Puzzle
funnyshooter,Shooter
weavesilk,Sandbox
a-dance-of-fire-and-ice,Music / Rhythm
align-4,Strategy
chrome-dino,Arcade
golddiggerfrvr,Idle / Clicker
hexgl,Racing
sand-game,Sandbox
candy-crush,Puzzle
cell-machine,Simulation
hextris,Puzzle
badicecream,Puzzle,Multiplayer
dragonballdevolution,Action
tu46,Simulation
adarkroom,Adventure
alienhominid,Shooter
ducklife1,Simulation
boxing-random,Sports
full-screen-mario,Platformer
pokemon-emerald,Adventure
pandemic2,Strategy
xx142-b2.exe,Horror
btd,Strategy
vex,Platformer
townscaper,Sandbox
subway-surfers-ny,Arcade
parking-fury,Driving
stealingthediamond,Adventure
breakingthebank,Adventure
bubble-tower-3d,Puzzle
osumania,Music / Rhythm
stickmanclimb,Platformer
vex3,Platformer
geometrydash,Skill,Music / Rhythm
riddleschool,Puzzle,Adventure
ctr,Racing
craftmine,Sandbox
dogeminer,Idle / Clicker
funnymadracing,Driving,Racing
skibiditoiletattack,Shooter
solitaire,Puzzle
stickmanboost,Platformer
lasthorizon,Shooter
vex4,Platformer
infiltratingtheairship,Adventure
iwbtc,Platformer
poom,Shooter
google-solitaire,Puzzle
gunmayhemredux,Shooter,Multiplayer
commodoreclicker,Idle / Clicker
wordlebot,Puzzle
papasfreezeria,Simulation
skibiditoilet,Action
worldhardestgame2,Skill
snow,Sandbox
slope-ball,Skill
supersmashflash,Action,Multiplayer
stack,Skill
flippyfish,Skill
sans-fight,Skill
vex6,Platformer
badicecream3,Puzzle,Multiplayer
funnyballgame,Skill
templerun2,Arcade
ducklife4,Simulation
ducklife3,Simulation
perfect-circle,Skill
clickerheroes,Idle / Clicker
friendlyfire,Shooter,Multiplayer
timeshooter1,Shooter
ducklife5,Simulation
tunnel-rush,Skill
papas-wingeria,Simulation
game-inside,Adventure
redball3,Platformer
hillclimbracing2,Driving,Racing
pizzatower,Platformer
mindustry,Strategy
parking-fury-3-main,Driving
minecraft-tower-defence-2,Strategy
supermeatboy,Platformer
theimpossiblegame,Skill
badicecream2,Puzzle,Multiplayer
halloween2016,Horror
edgenotfound,Platformer
fancypantsadventures,Platformer
fbwg4,Puzzle
flappySquidward,Skill
tank-trouble-2,Shooter,Multiplayer
lazyjump3d,Skill
sort-the-court,Simulation
there-is-no-game,Puzzle
burgerandfrights,Horror
pokemon-fire,Adventure
redball4,Platformer
winter-falling,Strategy
btd4,Strategy
soldier-legend,Shooter
ctr-tr,Racing
riddleschooltransfer,Puzzle,Adventure
btd2,Strategy
riddleschool2,Puzzle,Adventure
riddleschool4,Puzzle,Adventure
fbwg2,Puzzle
risehigher,Skill
achieveunlocked2,Platformer
fleeingthecomplex,Adventure
pushback,Puzzle
riddleschool3,Puzzle,Adventure
dadish3,Platformer
factoryballsforever,Puzzle
icy-purple-head-2,Puzzle
riddleschool5,Puzzle,Adventure
timeshooter2,Shooter
thisistheonlylevel2,Platformer
evilglitch,Shooter
papaspizzeria,Simulation
scrapmetal3,Driving
fnaf2,Horror
fancypantsadventures2,Platformer
fnaf4,Horror
riddleschooltransfer2,Puzzle,Adventure
dadish2,Platformer
ducklife2,Simulation
pokemon-leaf,Adventure
idle-breakout,Idle / Clicker
ctr-holiday,Racing
papa-louie-2,Platformer
run2,Platformer
civiballs-2,Puzzle
fnaf3,Horror
icy-purple-head-3,Puzzle
papa-louie-3,Platformer
vex2,Platformer
lowsadventures2,Platformer
papasburgeria,Simulation
parking-fury-2,Driving
fbwg3,Puzzle
redball4vol3,Platformer
dino,Arcade
redball4vol2,Platformer
basket-bros,Sports,Basketball
doodle-jump,Platformer
madalin-cars-multiplayer,Driving,Multiplayer
adofai,Music / Rhythm
big-tower-tiny-square,Platformer
boxingrandom,Sports
retro-bowl-exploit,Sports
retrobowl,Sports
slope3,Skill,Arcade
temple-run-2,Arcade
worldshardestgame,Skill
